locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
aa-DJ	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
aa-DJ	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
aa-ER	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
aa-ER	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ab	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ab	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
af	wide	Januarie	Februarie	Maart	April	Mei	Junie	Julie	Augustus	September	Oktober	November	Desember
af	abbreviated	Jan.	Feb.	Mrt.	Apr.	Mei	Jun.	Jul.	Aug.	Sep.	Okt.	Nov.	Des.
af-NA	wide	Januarie	Februarie	Maart	April	Mei	Junie	Julie	Augustus	September	Oktober	November	Desember
af-NA	abbreviated	Jan.	Feb.	Mrt.	Apr.	Mei	Jun.	Jul.	Aug.	Sep.	Okt.	Nov.	Des.
agq	wide	ndzɔ̀ŋɔ̀nùm	ndzɔ̀ŋɔ̀kƗ̀zùʔ	ndzɔ̀ŋɔ̀tƗ̀dʉ̀ghà	ndzɔ̀ŋɔ̀tǎafʉ̄ghā	ndzɔ̀ŋèsèe	ndzɔ̀ŋɔ̀nzùghò	ndzɔ̀ŋɔ̀dùmlo	ndzɔ̀ŋɔ̀kwîfɔ̀e	ndzɔ̀ŋɔ̀tƗ̀fʉ̀ghàdzughù	ndzɔ̀ŋɔ̀ghǔuwelɔ̀m	ndzɔ̀ŋɔ̀chwaʔàkaa wo	ndzɔ̀ŋèfwòo
agq	abbreviated	nùm	kɨz	tɨd	taa	see	nzu	dum	fɔe	dzu	lɔm	kaa	fwo
ak	wide	Ɔpɛpɔn	Ɔgyefoɔ	Ɔbɛnem	Oforisuo	Kɔtɔnimma	Ayɛwohomumu	Kutawonsa	Ɔsanaa	Ɛbɔ	Ahinime	Obubuo	Ɔpɛnimma
ak	abbreviated	Ɔpɛpɔn	Ɔgyefoɔ	Ɔbɛnem	Oforisuo	Kɔtɔnimma	Ayɛwohomumu	Kutawonsa	Ɔsanaa	Ɛbɔ	Ahinime	Obubuo	Ɔpɛnimma
am	wide	ጃንዋሪ	ፌብሩዋሪ	ማርች	ኤፕሪል	ሜይ	ጁን	ጁላይ	ኦገስት	ሴፕቴምበር	ኦክቶበር	ኖቬምበር	ዲሴምበር
am	abbreviated	ጃን	ፌብ	ማርች	ኤፕሪ	ሜይ	ጁን	ጁላይ	ኦገስ	ሴፕቴ	ኦክቶ	ኖቬም	ዲሴም
an	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
an	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ann	wide	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
ann	abbreviated	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12
