locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
en-ID	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-IL	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-IL	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-IM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-IM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-IN	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-IN	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-IO	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-IO	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-JE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-JE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-JM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-JM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-KE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-KE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-KI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-KI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-KN	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-KN	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-KY	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-KY	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-LC	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-LC	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-LR	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-LR	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-LS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-LS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MH	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MH	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-MO	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MO	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MP	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MP	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-MS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MT	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MT	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MU	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MU	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MV	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MV	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MW	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MW	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-MY	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-MY	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NA	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NA	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NF	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NF	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NL	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NL	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NR	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NR	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-NU	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-NU	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-PG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-PH	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PH	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-PK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-PN	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PN	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-PR	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PR	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-PW	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-PW	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-RW	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-RW	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SB	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SB	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SC	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SC	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SD	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SD	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SE	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SE	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SH	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SH	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SL	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SL	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SX	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SX	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-SZ	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-SZ	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-Shaw	wide	·𐑡𐑨𐑙𐑘𐑭𐑢𐑺𐑰	·𐑓𐑧𐑚𐑘𐑵𐑢𐑺𐑰	·𐑥𐑸𐑗	·𐑱𐑐𐑮𐑭𐑤	·𐑥𐑱	·𐑡𐑵𐑯	·𐑡𐑫𐑤𐑲	·𐑪𐑜𐑭𐑕𐑑	·𐑕𐑧𐑐𐑑𐑧𐑥𐑚𐑸	·𐑷𐑒𐑑𐑴𐑚𐑸	·𐑯𐑴𐑝𐑧𐑥𐑚𐑸	·𐑛𐑭𐑕𐑧𐑥𐑚𐑸
en-Shaw	abbreviated	·𐑡𐑨	·𐑓𐑧	·𐑥𐑸	·𐑱𐑐	·𐑥𐑱	·𐑡𐑵	·𐑡𐑫	·𐑪𐑜	·𐑕𐑧	·𐑷𐑒	·𐑯𐑴	·𐑛𐑭
en-TC	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TC	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-TK	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TK	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-TO	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TO	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-TT	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TT	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-TV	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TV	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-TZ	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-TZ	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-UG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-UG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-UM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-UM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-VC	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-VC	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-VG	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-VG	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-VI	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-VI	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
en-VU	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-VU	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-WS	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-WS	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-ZM	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-ZM	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
en-ZW	wide	January	February	March	April	May	June	July	August	September	October	November	December
en-ZW	abbreviated	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sept	Oct	Nov	Dec
eo	wide	Januaro	Februaro	Marto	Aprilo	Majo	Junio	Julio	Aŭgusto	Septembro	Oktobro	Novembro	Decembro
eo	abbreviated	Jan	Feb	Mar	Apr	Maj	Jun	Jul	Aŭg	Sep	Okt	Nov	Dec
es-419	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-419	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-BO	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-BO	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-BR	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-BR	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-BZ	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-BZ	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-CL	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-CL	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-CR	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-CR	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-CU	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-CU	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-DO	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-DO	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-EA	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-EA	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-EC	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-EC	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-GQ	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-GQ	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-GT	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-GT	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-HN	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-HN	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-IC	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-IC	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-NI	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-NI	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-PA	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-PA	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-PE	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	setiembre	octubre	noviembre	diciembre
es-PE	abbreviated	ene.	feb.	mar.	abr.	may.	jun.	jul.	ago.	set.	oct.	nov.	dic.
es-PH	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-PH	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-PR	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-PR	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-PY	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-PY	abbreviated	ene.	feb.	mar.	abr.	may.	jun.	jul.	ago.	sept.	oct.	nov.	dic.
es-SV	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-SV	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-US	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-US	abbreviated	ene	feb	mar	abr	may	jun	jul	ago	sept	oct	nov	dic
es-UY	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	setiembre	octubre	noviembre	diciembre
es-UY	abbreviated	ene.	feb.	mar.	abr.	may.	jun.	jul.	ago.	set.	oct.	nov.	dic.
es-VE	wide	enero	febrero	marzo	abril	mayo	junio	julio	agosto	septiembre	octubre	noviembre	diciembre
es-VE	abbreviated	ene.	feb.	mar.	abr.	may.	jun.	jul.	ago.	sept.	oct.	nov.	dic.
eu	wide	urtarrila	otsaila	martxoa	apirila	maiatza	ekaina	uztaila	abuztua	iraila	urria	azaroa	abendua
eu	abbreviated	urt.	ots.	mar.	api.	mai.	eka.	uzt.	abu.	ira.	urr.	aza.	abe.
ewo	wide	ngɔn osú	ngɔn bɛ̌	ngɔn lála	ngɔn nyina	ngɔn tána	ngɔn saməna	ngɔn zamgbála	ngɔn mwom	ngɔn ebulú	ngɔn awóm	ngɔn awóm ai dziá	ngɔn awóm ai bɛ̌
ewo	abbreviated	ngo	ngb	ngl	ngn	ngt	ngs	ngz	ngm	nge	nga	ngad	ngab
fa	wide	ژانویهٔ	فوریهٔ	مارس	آوریل	مهٔ	ژوئن	ژوئیهٔ	اوت	سپتامبر	اکتبر	نوامبر	دسامبر
fa	abbreviated	ژانویه	فوریه	مارس	آوریل	مه	ژوئن	ژوئیه	اوت	سپتامبر	اکتبر	نوامبر	دسامبر
fa-AF	wide	جنوری	فبروری	مارچ	اپریل	می	جون	جولای	اگست	سپتمبر	اکتوبر	نومبر	دسمبر
fa-AF	abbreviated	جنو	فبروری	مارچ	اپریل	می	جون	جول	اگست	سپتمبر	اکتوبر	نومبر	دسم
ff	wide	siilo	colte	mbooy	seeɗto	duujal	korse	morso	juko	siilto	yarkomaa	jolal	bowte
ff	abbreviated	sii	col	mbo	see	duu	kor	mor	juk	slt	yar	jol	bow
ff-Adlm	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-BF	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-BF	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-CM	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-CM	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GH	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GH	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GM	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GM	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GW	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-GW	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-LR	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-LR	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-MR	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-MR	abbreviated	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
ff-Adlm-NE	wide	𞤅𞤭𞥅𞤤𞤮	𞤕𞤮𞤤𞤼𞤮	𞤐𞤦𞤮𞥅𞤴𞤮	𞤅𞤫𞥅𞤼𞤮	𞤁𞤵𞥅𞤶𞤮	𞤑𞤮𞤪𞤧𞤮	𞤃𞤮𞤪𞤧𞤮	𞤔𞤵𞤳𞤮	𞤅𞤭𞤤𞤼𞤮	𞤒𞤢𞤪𞤳𞤮	𞤔𞤮𞤤𞤮	𞤄𞤮𞤱𞤼𞤮
