locale	length	ldml_pattern	finetype_type	note
ar-DZ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-DZ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-DZ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-EG	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-EG	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-EG	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-EG	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-EH	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-EH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-EH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-EH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-ER	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-ER	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-ER	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-ER	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-IL	short	H:mm	datetime.time.hm_24h	24h without seconds
ar-IL	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
ar-IL	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
ar-IL	full	H:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ar-IQ	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-IQ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-IQ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-IQ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-JO	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-JO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-JO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-JO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-KM	short	HH:mm	datetime.time.hm_24h	24h without seconds
ar-KM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ar-KM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ar-KM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ar-KW	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-KW	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-KW	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-KW	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-LB	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-LB	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-LB	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-LB	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-LY	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-LY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-LY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-LY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-MA	short	HH:mm	datetime.time.hm_24h	24h without seconds
ar-MA	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
ar-MA	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
ar-MA	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
ar-MR	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-MR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-MR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-MR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-OM	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-OM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-OM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-OM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-PS	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-PS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-PS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-PS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-QA	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-QA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-QA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-QA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-SA	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-SA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-SA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
ar-SA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
ar-SD	short	h:mm a	datetime.time.hm_12h	12h without seconds
ar-SD	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
ar-SD	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
