locale	length	ldml_pattern	finetype_type	note
en-FM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GD	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-GD	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-GD	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-GD	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GG	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-GG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-GG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-GG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-GH	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-GH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-GH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-GH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GI	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-GI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-GI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-GI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-GM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-GM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-GM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-GM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GU	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-GU	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-GU	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-GU	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-GY	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-GY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-GY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-GY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-HK	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-HK	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-HK	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-HK	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-ID	short	HH.mm	datetime.time.hm_24h	24h without seconds
en-ID	medium	HH.mm.ss	datetime.time.hms_24h	24h with seconds
en-ID	long	HH.mm.ss z	datetime.time.hms_24h	24h with seconds
en-ID	full	HH.mm.ss zzzz	datetime.time.hms_24h	24h with seconds
en-IL	short	H:mm	datetime.time.hm_24h	24h without seconds
en-IL	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
en-IL	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
en-IL	full	H:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-IM	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-IM	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-IM	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-IM	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-IN	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-IN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-IN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-IN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-IO	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-IO	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-IO	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-IO	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-JE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-JE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-JE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-JE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-JM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-JM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-JM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-JM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-KE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-KE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-KE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-KE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-KI	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-KI	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-KI	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-KI	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-KN	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-KN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-KN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-KN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-KY	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-KY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-KY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-KY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-LC	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-LC	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-LC	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-LC	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-LR	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-LR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-LR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-LR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-LS	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-LS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-LS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-LS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-MG	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-MG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-MG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-MG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-MH	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-MH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-MH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-MH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-MO	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-MO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-MO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-MO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-MP	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-MP	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-MP	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-MP	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-MS	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-MS	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-MS	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-MS	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-MT	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-MT	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-MT	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-MT	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-MU	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-MU	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-MU	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-MU	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-MV	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-MV	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-MV	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-MV	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-MW	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-MW	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-MW	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-MW	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-MY	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-MY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-MY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-MY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-NA	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-NA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-NA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-NA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-NF	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-NF	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-NF	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-NF	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-NG	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-NG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-NG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-NG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-NL	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-NL	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-NL	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-NL	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-NR	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-NR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-NR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-NR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-NU	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-NU	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-NU	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-NU	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-PG	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-PG	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-PG	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-PG	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-PH	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-PH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-PH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-PH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-PK	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-PK	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-PK	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-PK	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-PN	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-PN	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-PN	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-PN	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-PR	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-PR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-PR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-PR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-PW	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-PW	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-PW	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-PW	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-RW	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-RW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-RW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-RW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SB	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SB	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SB	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SB	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-SC	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-SC	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-SC	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-SC	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SD	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SD	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SD	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SD	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-SE	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-SE	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-SE	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-SE	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SG	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SG	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SG	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SG	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-SH	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-SH	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-SH	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-SH	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SI	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-SI	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-SI	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-SI	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SL	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SL	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SL	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SL	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-SS	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-SX	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-SX	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-SX	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-SX	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-SZ	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-SZ	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-SZ	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-SZ	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-Shaw	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-Shaw	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-Shaw	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-Shaw	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-TC	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-TC	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-TC	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-TC	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-TK	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-TK	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-TK	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-TK	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-TO	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-TO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-TO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-TO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-TT	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-TT	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-TT	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-TT	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-TV	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-TV	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-TV	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-TV	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-TZ	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-TZ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-TZ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-TZ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-UG	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-UG	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-UG	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-UG	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
en-UM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-UM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-UM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-UM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-VC	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-VC	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-VC	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-VC	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-VG	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-VG	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-VG	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-VG	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-VI	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-VI	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-VI	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-VI	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-VU	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-VU	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-VU	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-VU	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-WS	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-WS	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-WS	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-WS	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-ZM	short	h:mm a	datetime.time.hm_12h	12h without seconds
en-ZM	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
en-ZM	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
en-ZM	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
en-ZW	short	HH:mm	datetime.time.hm_24h	24h without seconds
en-ZW	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
en-ZW	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
en-ZW	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
eo	short	HH:mm	datetime.time.hm_24h	24h without seconds
eo	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
eo	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
eo	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
es-419	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-419	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-419	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-419	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-BO	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-BO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-BO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-BO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-BR	short	HH:mm	datetime.time.hm_24h	24h without seconds
es-BR	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
es-BR	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
es-BR	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
es-BZ	short	HH:mm	datetime.time.hm_24h	24h without seconds
es-BZ	medium	HH:mm:ss	datetime.time.hms_24h	24h with seconds
es-BZ	long	HH:mm:ss z	datetime.time.hms_24h	24h with seconds
es-BZ	full	HH:mm:ss zzzz	datetime.time.hms_24h	24h with seconds
es-CL	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-CL	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-CL	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-CL	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-CR	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-CR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-CR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-CR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-CU	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-CU	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-CU	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-CU	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-DO	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-DO	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-DO	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-DO	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-EA	short	H:mm	datetime.time.hm_24h	24h without seconds
es-EA	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
es-EA	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
es-EA	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
es-EC	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-EC	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-EC	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-EC	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-GQ	short	H:mm	datetime.time.hm_24h	24h without seconds
es-GQ	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
es-GQ	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
es-GQ	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
es-GT	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-GT	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-GT	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-GT	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-HN	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-HN	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-HN	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-HN	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-IC	short	H:mm	datetime.time.hm_24h	24h without seconds
es-IC	medium	H:mm:ss	datetime.time.hms_24h	24h with seconds
es-IC	long	H:mm:ss z	datetime.time.hms_24h	24h with seconds
es-IC	full	H:mm:ss (zzzz)	datetime.time.hms_24h	24h with seconds
es-NI	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-NI	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-NI	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-NI	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-PA	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-PA	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-PA	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-PA	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-PE	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-PE	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-PE	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-PE	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-PH	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-PH	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-PH	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-PH	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-PR	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-PR	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-PR	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-PR	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-PY	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-PY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-PY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-PY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-SV	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-SV	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-SV	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-SV	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-US	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-US	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-US	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-US	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-UY	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-UY	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-UY	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-UY	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
es-VE	short	h:mm a	datetime.time.hm_12h	12h without seconds
es-VE	medium	h:mm:ss a	datetime.time.hms_12h	12h with seconds
es-VE	long	h:mm:ss a z	datetime.time.hms_12h	12h with seconds
es-VE	full	h:mm:ss a zzzz	datetime.time.hms_12h	12h with seconds
eu	short	HH:mm	datetime.time.hm_24h	24h without seconds
