locale	width	mon	tue	wed	thu	fri	sat	sun
ccp	wide	𑄥𑄧𑄟𑄴𑄝𑄢𑄴	𑄟𑄧𑄁𑄉𑄧𑄣𑄴𑄝𑄢𑄴	𑄝𑄪𑄖𑄴𑄝𑄢𑄴	𑄝𑄳𑄢𑄨𑄥𑄪𑄛𑄴𑄝𑄢𑄴	𑄥𑄪𑄇𑄴𑄇𑄮𑄢𑄴𑄝𑄢𑄴	𑄥𑄧𑄚𑄨𑄝𑄢𑄴	𑄢𑄧𑄝𑄨𑄝𑄢𑄴
ccp	abbreviated	𑄥𑄧𑄟𑄴	𑄟𑄧𑄁𑄉𑄧𑄣𑄴	𑄝𑄪𑄖𑄴	𑄝𑄳𑄢𑄨𑄥𑄪𑄛𑄴	𑄥𑄪𑄇𑄴𑄇𑄮𑄢𑄴	𑄥𑄧𑄚𑄨	𑄢𑄧𑄝𑄨
ccp-IN	wide	𑄥𑄧𑄟𑄴𑄝𑄢𑄴	𑄟𑄧𑄁𑄉𑄧𑄣𑄴𑄝𑄢𑄴	𑄝𑄪𑄖𑄴𑄝𑄢𑄴	𑄝𑄳𑄢𑄨𑄥𑄪𑄛𑄴𑄝𑄢𑄴	𑄥𑄪𑄇𑄴𑄇𑄮𑄢𑄴𑄝𑄢𑄴	𑄥𑄧𑄚𑄨𑄝𑄢𑄴	𑄢𑄧𑄝𑄨𑄝𑄢𑄴
ccp-IN	abbreviated	𑄥𑄧𑄟𑄴	𑄟𑄧𑄁𑄉𑄧𑄣𑄴	𑄝𑄪𑄖𑄴	𑄝𑄳𑄢𑄨𑄥𑄪𑄛𑄴	𑄥𑄪𑄇𑄴𑄇𑄮𑄢𑄴	𑄥𑄧𑄚𑄨	𑄢𑄧𑄝𑄨
ce	wide	оршот	шинара	кхаара	еара	пӀераска	шуот	кӀира
ce	abbreviated	ор	ши	кха	еа	пӀе	шуо	кӀи
ceb	wide	Lunes	Martes	Miyerkules	Huwebes	Biyernes	Sabado	Domingo
ceb	abbreviated	Lun	Mar	Miy	Huw	Biy	Sab	Dom
cgg	wide	Orwokubanza	Orwakabiri	Orwakashatu	Orwakana	Orwakataano	Orwamukaaga	Sande
cgg	abbreviated	ORK	OKB	OKS	OKN	OKT	OMK	SAN
cho	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
cho	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
chr	wide	ᎤᎾᏙᏓᏉᏅᎯ	ᏔᎵᏁᎢᎦ	ᏦᎢᏁᎢᎦ	ᏅᎩᏁᎢᎦ	ᏧᎾᎩᎶᏍᏗ	ᎤᎾᏙᏓᏈᏕᎾ	ᎤᎾᏙᏓᏆᏍᎬ
chr	abbreviated	ᏉᏅᎯ	ᏔᎵᏁ	ᏦᎢᏁ	ᏅᎩᏁ	ᏧᎾᎩ	ᏈᏕᎾ	ᏆᏍᎬ
cic	wide	Mantiʼ	Chostiʼ	Winstiʼ	Soistiʼ	Nannalhchifaʼ Nittak	Nittak Holloʼ Nakfish	Nittak Holloʼ
cic	abbreviated	Mantiʼ	Chostiʼ	Winstiʼ	Soistiʼ	Nannalhchifaʼ Nittak	Nittak Holloʼ Nakfish	Nittak Holloʼ
ckb	wide	دووشەممە	سێشەممە	چوارشەممە	پێنجشەممە	ھەینی	شەممە	یەکشەممە
ckb	abbreviated	دووشەممە	سێشەممە	چوارشەممە	پێنجشەممە	ھەینی	شەممە	یەکشەممە
ckb-IR	wide	دووشەممە	سێشەممە	چوارشەممە	پێنجشەممە	ھەینی	شەممە	یەکشەممە
ckb-IR	abbreviated	دووشەممە	سێشەممە	چوارشەممە	پێنجشەممە	ھەینی	شەممە	یەکشەممە
co	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
co	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
