locale	width	mon	tue	wed	thu	fri	sat	sun
ff-Adlm-BF	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-BF	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-CM	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-CM	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-GH	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-GH	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-GM	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-GM	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-GW	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-GW	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-LR	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-LR	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-MR	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-MR	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-NE	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-NE	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-NG	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-NG	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-SL	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-SL	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Adlm-SN	wide	𞤀𞥄𞤩𞤵𞤲𞥋𞤣𞤫	𞤃𞤢𞤱𞤦𞤢𞥄𞤪𞤫	𞤐𞤶𞤫𞤧𞤤𞤢𞥄𞤪𞤫	𞤐𞤢𞥄𞤧𞤢𞥄𞤲𞤣𞤫	𞤃𞤢𞤱𞤲𞤣𞤫	𞤖𞤮𞤪𞤦𞤭𞤪𞥆𞤫	𞤈𞤫𞤬𞤦𞤭𞤪𞥆𞤫
ff-Adlm-SN	abbreviated	𞤀𞥄𞤩𞤵	𞤃𞤢𞤦	𞤔𞤫𞤧	𞤐𞤢𞥄𞤧	𞤃𞤢𞤣	𞤖𞤮𞤪	𞤈𞤫𞤬
ff-Latn	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-BF	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-BF	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-CM	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-CM	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-GH	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-GH	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-GM	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-GM	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-GN	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-GN	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-GW	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-GW	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-LR	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-LR	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-MR	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-MR	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-NE	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-NE	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-NG	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-NG	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
ff-Latn-SL	wide	aaɓnde	mawbaare	njeslaare	naasaande	mawnde	hoore-biir	dewo
ff-Latn-SL	abbreviated	aaɓ	maw	nje	naa	mwd	hbi	dew
fil	wide	Lunes	Martes	Miyerkules	Huwebes	Biyernes	Sabado	Linggo
fil	abbreviated	Lun	Mar	Miy	Huw	Biy	Sab	Lin
fo	wide	mánadagur	týsdagur	mikudagur	hósdagur	fríggjadagur	leygardagur	sunnudagur
fo	abbreviated	mán.	týs.	mik.	hós.	frí.	ley.	sun.
fo-DK	wide	mánadagur	týsdagur	mikudagur	hósdagur	fríggjadagur	leygardagur	sunnudagur
fo-DK	abbreviated	mán.	týs.	mik.	hós.	frí.	ley.	sun.
fr-BF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-BI	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BI	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-BJ	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BJ	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-BL	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-BL	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CD	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CD	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CG	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CG	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CI	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CI	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-CM	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-CM	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-DJ	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-DJ	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-DZ	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-DZ	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-GA	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-GA	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-GF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-GF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-GN	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-GN	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-GP	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-GP	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-GQ	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-GQ	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-HT	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-HT	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-KM	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-KM	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-LU	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-LU	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MA	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MA	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MC	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MC	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MG	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MG	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-ML	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-ML	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MQ	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MQ	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MR	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MR	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-MU	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-MU	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-NC	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-NC	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-NE	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-NE	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-PF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-PF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-PM	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-PM	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-RE	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-RE	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-RW	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-RW	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-SC	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-SC	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-SN	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-SN	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-SY	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-SY	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-TD	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-TD	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-TG	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-TG	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-TN	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-TN	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-VU	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-VU	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-WF	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-WF	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
fr-YT	wide	lundi	mardi	mercredi	jeudi	vendredi	samedi	dimanche
fr-YT	abbreviated	lun.	mar.	mer.	jeu.	ven.	sam.	dim.
frr	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
frr	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
fur	wide	lunis	martars	miercus	joibe	vinars	sabide	domenie
fur	abbreviated	lun	mar	mie	joi	vin	sab	dom
fy	wide	moandei	tiisdei	woansdei	tongersdei	freed	sneon	snein
fy	abbreviated	mo	ti	wo	to	fr	so	si
ga	wide	Dé Luain	Dé Máirt	Dé Céadaoin	Déardaoin	Dé hAoine	Dé Sathairn	Dé Domhnaigh
ga	abbreviated	Luan	Máirt	Céad	Déar	Aoine	Sath	Domh
ga-GB	wide	Dé Luain	Dé Máirt	Dé Céadaoin	Déardaoin	Dé hAoine	Dé Sathairn	Dé Domhnaigh
ga-GB	abbreviated	Luan	Máirt	Céad	Déar	Aoine	Sath	Domh
gaa	wide	Ju	Jufɔ	Shɔ	Soo	Sohaa	Hɔɔ	Hɔgbaa
gaa	abbreviated	Ju	Jufɔ	Shɔ	Soo	Sohaa	Hɔɔ	Hɔgbaa
gd	wide	DiLuain	DiMàirt	DiCiadain	DiarDaoin	DihAoine	DiSathairne	DiDòmhnaich
gd	abbreviated	DiL	DiM	DiC	Dia	Dih	DiS	DiD
gez	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
gez	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
gez-ER	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
gez-ER	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
gl	wide	luns	martes	mércores	xoves	venres	sábado	domingo
gl	abbreviated	luns	mar.	mér.	xov.	ven.	sáb.	dom.
gn	wide	Arakõi	Araapy	Ararundy	Arapo	Arapoteĩ	Arapokõi	Arateĩ
gn	abbreviated	Arakõi	Araapy	Ararundy	Arapo	Arapoteĩ	Arapokõi	Arateĩ
gsw	wide	Määntig	Ziischtig	Mittwuch	Dunschtig	Friitig	Samschtig	Sunntig
gsw	abbreviated	Mä.	Zi.	Mi.	Du.	Fr.	Sa.	Su.
gsw-FR	wide	Määntig	Ziischtig	Mittwuch	Dunschtig	Friitig	Samschtig	Sunntig
gsw-FR	abbreviated	Mä.	Zi.	Mi.	Du.	Fr.	Sa.	Su.
gsw-LI	wide	Määntig	Ziischtig	Mittwuch	Dunschtig	Friitig	Samschtig	Sunntig
gsw-LI	abbreviated	Mä.	Zi.	Mi.	Du.	Fr.	Sa.	Su.
gu	wide	સોમવાર	મંગળવાર	બુધવાર	ગુરુવાર	શુક્રવાર	શનિવાર	રવિવાર
gu	abbreviated	સોમ	મંગળ	બુધ	ગુરુ	શુક્ર	શનિ	રવિ
guz	wide	Chumatato	Chumaine	Chumatano	Aramisi	Ichuma	Esabato	Chumapiri
guz	abbreviated	Ctt	Cmn	Cmt	Ars	Icm	Est	Cpr
gv	wide	Jelhein	Jemayrt	Jercean	Jerdein	Jeheiney	Jesarn	Jedoonee
gv	abbreviated	Jel	Jem	Jerc	Jerd	Jeh	Jes	Jed
ha	wide	Litinin	Talata	Laraba	Alhamis	Jummaʼa	Asabar	Lahadi
ha	abbreviated	Lit	Tal	Lar	Alh	Jum	Asa	Lah
ha-Arab	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ha-Arab	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ha-Arab-SD	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ha-Arab-SD	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ha-GH	wide	Litinin	Talata	Laraba	Alhamis	Jummaʼa	Asabar	Lahadi
ha-GH	abbreviated	Lit	Tal	Lar	Alh	Jum	Asa	Lah
ha-NE	wide	Litinin	Talata	Laraba	Alhamis	Jummaʼa	Asabar	Lahadi
ha-NE	abbreviated	Lit	Tal	Lar	Alh	Jum	Asa	Lah
haw	wide	Poʻakahi	Poʻalua	Poʻakolu	Poʻahā	Poʻalima	Poʻaono	Lāpule
haw	abbreviated	P1	P2	P3	P4	P5	P6	LP
he	wide	יום שני	יום שלישי	יום רביעי	יום חמישי	יום שישי	יום שבת	יום ראשון
he	abbreviated	יום ב׳	יום ג׳	יום ד׳	יום ה׳	יום ו׳	שבת	יום א׳
hi	wide	सोमवार	मंगलवार	बुधवार	गुरुवार	शुक्रवार	शनिवार	रविवार
hi	abbreviated	सोम	मंगल	बुध	गुरु	शुक्र	शनि	रवि
hi-Latn	wide	Somwaar	Mangalwaar	Budhwaar	Guruwaar	Shukrawaar	Shaniwaar	Raviwaar
hi-Latn	abbreviated	Som	Mangal	Budh	Guru	Shukra	Shani	Ravi
hnj	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
hnj	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
hnj-Hmnp	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
hnj-Hmnp	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
hr-BA	wide	ponedjeljak	utorak	srijeda	četvrtak	petak	subota	nedjelja
hr-BA	abbreviated	pon	uto	sri	čet	pet	sub	ned
hsb	wide	póndźela	wutora	srjeda	štwórtk	pjatk	sobota	njedźela
hsb	abbreviated	pón	wut	srj	štw	pja	sob	nje
hy	wide	երկուշաբթի	երեքշաբթի	չորեքշաբթի	հինգշաբթի	ուրբաթ	շաբաթ	կիրակի
hy	abbreviated	երկ	երք	չրք	հնգ	ուր	շբթ	կիր
ia	wide	lunedi	martedi	mercuridi	jovedi	venerdi	sabbato	dominica
ia	abbreviated	lun	mar	mer	jov	ven	sab	dom
id	wide	Senin	Selasa	Rabu	Kamis	Jumat	Sabtu	Minggu
id	abbreviated	Sen	Sel	Rab	Kam	Jum	Sab	Min
ie	wide	lunedí	mardí	mercurdí	jovedí	venerdí	saturdí	soledí
ie	abbreviated	lun.	mar.	mer.	jov.	ven.	sat.	sol.
ig	wide	Mọnde	Tiuzdee	Wenezdee	Tọọzdee	Fraịdee	Satọdee	Sọndee
ig	abbreviated	Mọn	Tiu	Wen	Tọọ	Fraị	Sat	Sọn
ii	wide	ꆏꊂꋍ	ꆏꊂꑍ	ꆏꊂꌕ	ꆏꊂꇖ	ꆏꊂꉬ	ꆏꊂꃘ	ꑬꆏꑍ
ii	abbreviated	ꆏꋍ	ꆏꑍ	ꆏꌕ	ꆏꇖ	ꆏꉬ	ꆏꃘ	ꑬꆏ
io	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
io	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
is	wide	mánudagur	þriðjudagur	miðvikudagur	fimmtudagur	föstudagur	laugardagur	sunnudagur
is	abbreviated	mán.	þri.	mið.	fim.	fös.	lau.	sun.
it-SM	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it-SM	abbreviated	lun	mar	mer	gio	ven	sab	dom
it-VA	wide	lunedì	martedì	mercoledì	giovedì	venerdì	sabato	domenica
it-VA	abbreviated	lun	mar	mer	gio	ven	sab	dom
iu	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
iu	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
iu-Latn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
iu-Latn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
jbo	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
jbo	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
jgo	wide	Mɔ́ndi	Ápta Mɔ́ndi	Wɛ́nɛsɛdɛ	Tɔ́sɛdɛ	Fɛlâyɛdɛ	Sásidɛ	Sɔ́ndi
jgo	abbreviated	Mɔ́ndi	Ápta Mɔ́ndi	Wɛ́nɛsɛdɛ	Tɔ́sɛdɛ	Fɛlâyɛdɛ	Sásidɛ	Sɔ́ndi
jmc	wide	Jumatatuu	Jumanne	Jumatanu	Alhamisi	Ijumaa	Jumamosi	Jumapilyi
jmc	abbreviated	Jtt	Jnn	Jtn	Alh	Iju	Jmo	Jpi
jv	wide	Senin	Selasa	Rabu	Kamis	Jumat	Sabtu	Ahad
jv	abbreviated	Sen	Sel	Rab	Kam	Jum	Sab	Ahad
ka	wide	ორშაბათი	სამშაბათი	ოთხშაბათი	ხუთშაბათი	პარასკევი	შაბათი	კვირა
ka	abbreviated	ორშ	სამ	ოთხ	ხუთ	პარ	შაბ	კვი
kaa	wide	дүйшемби	сийшемби	сәршемби	пийшемби	жума	шемби	екшемби
kaa	abbreviated	Дүй	Сий	Сәр	Пий	Жум	Шем	Екш
kaa-Cyrl	wide	дүйшемби	сийшемби	сәршемби	пийшемби	жума	шемби	екшемби
kaa-Cyrl	abbreviated	Дүй	Сий	Сәр	Пий	Жум	Шем	Екш
kaa-Latn	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kaa-Latn	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kab	wide	Sanass	Kraḍass	Kuẓass	Samass	Sḍisass	Sayass	Yanass
kab	abbreviated	San	Kraḍ	Kuẓ	Sam	Sḍis	Say	Yan
kaj	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kaj	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kam	wide	Wa kwambĩlĩlya	Wa kelĩ	Wa katatũ	Wa kana	Wa katano	Wa thanthatũ	Wa kyumwa
kam	abbreviated	Wkw	Wkl	Wtũ	Wkn	Wtn	Wth	Wky
kcg	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kcg	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
kde	wide	Liduva lyatatu	Liduva lyanchechi	Liduva lyannyano	Liduva lyannyano na linji	Liduva lyannyano na mavili	Liduva litandi	Liduva lyapili
kde	abbreviated	Ll3	Ll4	Ll5	Ll6	Ll7	Ll1	Ll2
kea	wide	sigunda-fera	tersa-fera	kuarta-fera	kinta-fera	sesta-fera	sábadu	dumingu
kea	abbreviated	sig	ter	kua	kin	ses	sab	dum
ken	wide	Mon	Tue	Wed	Thu	Fri	Sat	Sun
ken	abbreviated	Mon	Tue	Wed	Thu	Fri	Sat	Sun
