locale	length	ldml_pattern	normalized	finetype_type	note
fr-PM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-PM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-PM	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-RE	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-RE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-RE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-RE	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-RW	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-RW	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-RW	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-RW	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-SC	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-SC	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-SC	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-SC	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-SN	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-SN	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-SN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-SN	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-SY	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-SY	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-SY	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-SY	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-TD	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-TD	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-TD	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-TD	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-TG	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-TG	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-TG	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-TG	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-TN	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-TN	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-TN	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-TN	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-VU	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-VU	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-VU	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-VU	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-WF	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-WF	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-WF	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-WF	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-YT	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fr-YT	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-YT	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-YT	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
frr	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
frr	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
frr	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
frr	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
fur	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
fur	medium	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
fur	long	d 'di' MMMM 'dal' y	d MMMM y	datetime.date.long_full_month	full month
fur	full	EEEE d 'di' MMMM 'dal' y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fy	short	dd-MM-yy	dd-MM-yy	datetime.date.eu_slash	DMY dash (eu_slash variant)
fy	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fy	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fy	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ga	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ga	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ga	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ga	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ga-GB	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ga-GB	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ga-GB	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ga-GB	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
gaa	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
gaa	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
gaa	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
gaa	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
gd	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
gd	medium	d'mh' MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
gd	long	d'mh' MMMM y	d MMMM y	datetime.date.long_full_month	full month
gd	full	EEEE, d'mh' MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
gez	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
gez	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
gez	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
gez	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
gez-ER	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
gez-ER	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
gez-ER	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
gez-ER	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
gl	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
gl	medium	d 'de' MMM 'de' y	d MMM y	datetime.date.abbreviated_month	abbreviated month
gl	long	d 'de' MMMM 'de' y	d MMMM y	datetime.date.long_full_month	full month
gl	full	EEEE, d 'de' MMMM 'de' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
gn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
gn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
gn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
gn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
gsw	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
gsw	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
gsw	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
gsw	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
gsw-FR	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
gsw-FR	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
gsw-FR	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
gsw-FR	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
gsw-LI	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
gsw-LI	medium	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
gsw-LI	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
gsw-LI	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
gu	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
gu	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
gu	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
gu	full	EEEE, d MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
guz	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
guz	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
guz	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
guz	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
gv	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
gv	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
gv	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
gv	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ha	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ha	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ha	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ha	full	EEEE d MMMM, y	EEEE d MMMM, y	datetime.date.weekday_full_month	weekday + full month
ha-Arab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ha-Arab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ha-Arab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ha-Arab	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ha-Arab-SD	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ha-Arab-SD	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ha-Arab-SD	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ha-Arab-SD	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ha-GH	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ha-GH	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ha-GH	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ha-GH	full	EEEE d MMMM, y	EEEE d MMMM, y	datetime.date.weekday_full_month	weekday + full month
ha-NE	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ha-NE	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
ha-NE	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ha-NE	full	EEEE d MMMM, y	EEEE d MMMM, y	datetime.date.weekday_full_month	weekday + full month
haw	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
haw	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
haw	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
he	short	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
he	medium	d בMMM y	d בMMM y	datetime.date.abbreviated_month	abbreviated month
he	long	d בMMMM y	d בMMMM y	datetime.date.long_full_month	full month
he	full	EEEE, d בMMMM y	EEEE, d בMMMM y	datetime.date.weekday_full_month	weekday + full month
hi	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
hi	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
hi	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
hi	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
hi-Latn	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
hi-Latn	medium	dd MMM, y	dd MMM, y	datetime.date.abbreviated_month	abbreviated month
hi-Latn	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
hi-Latn	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
hnj	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
hnj	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
hnj	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
hnj	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
hnj-Hmnp	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
hnj-Hmnp	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
hnj-Hmnp	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
hnj-Hmnp	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
hr-BA	short	d. M. yy.	d. M. yy	datetime.date.eu_dot	DMY dot
hr-BA	medium	d. MMM y.	d. MMM y	datetime.date.abbreviated_month	abbreviated month
hr-BA	long	d. MMMM y.	d. MMMM y	datetime.date.long_full_month	full month
hr-BA	full	EEEE, d. MMMM y.	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
hsb	short	d.M.yy	d.M.yy	datetime.date.eu_dot	DMY dot
hsb	medium	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
hsb	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
hsb	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
hy	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
hy	medium	dd MMM, y թ.	dd MMM, y թ	datetime.date.abbreviated_month	abbreviated month
hy	long	dd MMMM, y թ.	dd MMMM, y թ	datetime.date.long_full_month	full month
hy	full	y թ. MMMM d, EEEE	y թ. MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ia	short	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
ia	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ia	long	d 'de' MMMM y	d MMMM y	datetime.date.long_full_month	full month
ia	full	EEEE 'le' d 'de' MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
id	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
id	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
id	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
id	full	EEEE, dd MMMM y	EEEE, dd MMMM y	datetime.date.weekday_full_month	weekday + full month
ie	short	d.M.yy	d.M.yy	datetime.date.eu_dot	DMY dot
ie	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ie	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ie	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ig	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
ig	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ig	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ig	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ii	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ii	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ii	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ii	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
io	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
io	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
io	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
io	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
is	short	d.M.y	d.M.y	datetime.date.eu_dot	DMY dot
is	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
is	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
is	full	EEEE, d. MMMM y	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
it-SM	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
it-SM	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
it-SM	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
it-SM	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
it-VA	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
it-VA	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
it-VA	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
it-VA	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
iu	short	MM/dd/y	MM/dd/y	datetime.date.us_slash	MDY slash padded
iu	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
iu	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
iu	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
iu-Latn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
iu-Latn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
iu-Latn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
iu-Latn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
jbo	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
jbo	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
jbo	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
jbo	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
jgo	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
jgo	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
jgo	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
jgo	full	EEEE, y MMMM dd	EEEE, y MMMM dd	datetime.date.weekday_full_month	weekday + full month
jmc	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
jmc	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
jmc	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
jmc	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
jv	short	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
jv	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
jv	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
jv	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ka	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
ka	medium	d MMM. y	d MMM. y	datetime.date.abbreviated_month	abbreviated month
ka	long	d MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
ka	full	EEEE, dd MMMM, y	EEEE, dd MMMM, y	datetime.date.weekday_full_month	weekday + full month
kaa	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kaa	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kaa	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kaa	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kaa-Cyrl	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kaa-Cyrl	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kaa-Cyrl	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kaa-Cyrl	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kaa-Latn	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kaa-Latn	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kaa-Latn	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kaa-Latn	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kab	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
kab	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
kab	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kab	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
kaj	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kaj	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kaj	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kaj	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kam	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
kam	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
kam	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kam	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
kcg	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kcg	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kcg	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kcg	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kde	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
kde	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
kde	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kde	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
kea	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
kea	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
kea	long	d 'di' MMMM 'di' y	d MMMM y	datetime.date.long_full_month	full month
kea	full	EEEE, d 'di' MMMM 'di' y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
ken	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ken	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ken	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ken	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kgp	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
kgp	medium	d 'ne' MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
kgp	long	d 'ne' MMMM, y	d MMMM, y	datetime.date.long_full_month	full month
kgp	full	EEEE, d 'ne' MMMM, y	EEEE, d MMMM, y	datetime.date.weekday_full_month	weekday + full month
khq	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
khq	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
khq	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
khq	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ki	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
ki	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
ki	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
ki	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
kk	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
kk	medium	y 'ж'. dd MMM	y dd MMM	datetime.date.abbreviated_month	abbreviated month
kk	long	y 'ж'. d MMMM	y d MMMM	datetime.date.long_full_month	full month
kk	full	y 'ж'. d MMMM, EEEE	y d MMMM, EEEE	datetime.date.weekday_full_month	weekday + full month
kk-Arab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kk-Arab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kk-Arab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kk-Arab	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kk-Cyrl	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
kk-Cyrl	medium	y 'ж'. dd MMM	y dd MMM	datetime.date.abbreviated_month	abbreviated month
kk-Cyrl	long	y 'ж'. d MMMM	y d MMMM	datetime.date.long_full_month	full month
kk-Cyrl	full	y 'ж'. d MMMM, EEEE	y d MMMM, EEEE	datetime.date.weekday_full_month	weekday + full month
kk-KZ	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
kk-KZ	medium	y 'ж'. dd MMM	y dd MMM	datetime.date.abbreviated_month	abbreviated month
kk-KZ	long	y 'ж'. d MMMM	y d MMMM	datetime.date.long_full_month	full month
kk-KZ	full	y 'ж'. d MMMM, EEEE	y d MMMM, EEEE	datetime.date.weekday_full_month	weekday + full month
kkj	short	dd/MM y	dd/MM y	datetime.date.eu_slash	DMY slash-space
kkj	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
kkj	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kkj	full	EEEE dd MMMM y	EEEE dd MMMM y	datetime.date.weekday_full_month	weekday + full month
kl	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
kl	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
kl	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
kl	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
kln	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
kln	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
kln	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kln	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
km	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
km	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
km	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
km	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
kn	short	d/M/yy	d/M/yy	datetime.date.eu_slash	DMY slash
kn	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
kn	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
kn	full	EEEE, MMMM d, y	EEEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month
kok	short	d-M-yy	d-M-yy	datetime.date.eu_slash	DMY dash (eu_slash variant)
kok	medium	d-MMM-y	d-MMM-y	datetime.date.abbreviated_month	abbreviated month
kok	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
kok	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
