locale	length	ldml_pattern	normalized	finetype_type	note
fr-CA	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
fr-CH	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
fr-CH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
fr-CH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
fr-CH	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
hr	short	dd. MM. y.	dd. MM. y	datetime.date.eu_dot	DMY dot
hr	medium	d. MMM y.	d. MMM y	datetime.date.abbreviated_month	abbreviated month
hr	long	d. MMMM y.	d. MMMM y	datetime.date.long_full_month	full month
hr	full	EEEE, d. MMMM y.	EEEE, d. MMMM y	datetime.date.weekday_full_month	weekday + full month
hu	short	y. MM. dd.	y. MM. dd	datetime.date.iso	YMD dot (Hungarian style)
hu	medium	y. MMM d.	y. MMM d	datetime.date.abbreviated_month	abbreviated month
hu	long	y. MMMM d.	y. MMMM d	datetime.date.long_full_month	full month
hu	full	y. MMMM d., EEEE	y. MMMM d., EEEE	datetime.date.weekday_full_month	weekday + full month
it	short	dd/MM/yy	dd/MM/yy	datetime.date.eu_slash	DMY slash padded
it	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
it	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
it	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
it-CH	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
it-CH	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
it-CH	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
it-CH	full	EEEE, d MMMM y	EEEE, d MMMM y	datetime.date.weekday_full_month	weekday + full month
lt	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
lt	medium	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
lt	long	y 'm'. MMMM d 'd'.	y MMMM d	datetime.date.long_full_month	full month
lt	full	y 'm'. MMMM d 'd'., EEEE	y MMMM d , EEEE	datetime.date.weekday_full_month	weekday + full month
lv	short	dd.MM.yy	dd.MM.yy	datetime.date.eu_dot	DMY dot
lv	medium	y. 'gada' d. MMM	y. d. MMM	datetime.date.abbreviated_month	abbreviated month
lv	long	y. 'gada' d. MMMM	y. d. MMMM	datetime.date.long_full_month	full month
lv	full	EEEE, y. 'gada' d. MMMM	EEEE, y. d. MMMM	datetime.date.weekday_full_month	weekday + full month
nb	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
nb	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
nb	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
nb	full	EEEE d. MMMM y	EEEE d. MMMM y	datetime.date.weekday_full_month	weekday + full month
nl	short	dd-MM-y	dd-MM-y	datetime.date.eu_slash	DMY dash (eu_slash variant)
nl	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
nl	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
nl	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
nl-BE	short	d/MM/y	d/MM/y	datetime.date.eu_slash	DMY slash padded
nl-BE	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
nl-BE	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
nl-BE	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
nn	short	dd.MM.y	dd.MM.y	datetime.date.eu_dot	DMY dot
nn	medium	d. MMM y	d. MMM y	datetime.date.abbreviated_month	abbreviated month
nn	long	d. MMMM y	d. MMMM y	datetime.date.long_full_month	full month
nn	full	EEEE d. MMMM y	EEEE d. MMMM y	datetime.date.weekday_full_month	weekday + full month
pl	short	d.MM.y	d.MM.y	datetime.date.eu_dot	DMY dot
pl	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
pl	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
